title,score,synopsis,genres,episodes,characters
Initial D SECOND STAGE,61,Gran equilibrio entre acción y desarrollo de personajes (61.0).,"Action, Adventure, Comedy, Ecchi, Fantasy",12.33,"Yzak Joule, Yolan Kent, Shinn Asuka, Haro, Murrue Ramius, Athrun Zala, Kira Yamato, Natarle Badgiruel, Stella Loussier, Lacus Clyne, Meer Campbell, Arthur Trine, Yuna Roma Seiran, Bart Heim, Lunamaria Hawke, Malik Yardbirds, Mars Symeon, Sting Oakley, Rey Za Burrel, Rau Le Creuset, Miriallia Haw, Meyrin Hawke, Mu La Flaga, Hilda Harken, Abbey Windsor"
Jinki:Extend,64,Excelente experiencia; animación y banda sonora destacadas (64.0).,"Action, Adventure, Sci-Fi",25.3,"Gon Freecss, Hisoka Morow, Bara, Goreinu, Abengane, Ging Freecss, Sub, Genthru, Franklin Bordeaux, Bopobo, Nickes, List, Elena, Biscuit Krueger, Razor, Killua Zoldyck, Kurapika, Shalnark Ryuseih, Kazsule, Feitan Portor, Kess, Shizuku Murasaki, Kalluto Zoldyck, Phinks Magcub, Onnanoko"
Ai Yori Aoshi,69,Historia atrapante y bien ejecutada. Repetiría sin dudar (69.0).,"Comedy, Romance, Supernatural",44.92,"Yusuke Kinoshita, Satomi Morihara, Shouko Inaba, Rumi Kinoshita"
"Ima, Soko ni Iru Boku",61,Gran equilibrio entre acción y desarrollo de personajes (61.0).,"Comedy, Drama, Ecchi, Fantasy, Romance",24.36,"Mutsumi Otohime, Akiko Taichi, Naru Narusegawa, Keitarou Urashima, Motoko Aoyama, Yashuhara Maehara, Mitsune Konno, Kaolla Suu, Shinobu Maehara, Sarah McDougal, Ken Akamatsu, Kimiaki Shirai, Kentarou Sakata, Masayuki Haitani, Haruka Urashima, Kikuko Onoue, Mei Narusegawa, Seta Noriyasu, Sachiyo Matsumoto, Tamago Onsen, Emi Ichikawa"
Chuuka Ichiban!,77,Gran equilibrio entre acción y desarrollo de personajes (77.0).,"Action, Comedy, Mecha, Romance, Sci-Fi",12.62,"Chihaya Yamase, Haruaki Akai, Kuriko Kazetsubaki, Kazumi Matsuda, Sayumi Morisaki, Raika Naruo, Shino Akai, Elizabeth, Yuna Miyama, Rin Kamishiro, Kaori Iba, Kazuki Shikimori, Yukihiko Nakamaru, Mitsuhiro Uki, Karei Hirosaki, Takashi Yamaguchi"
Black Cat,82,Historia atrapante y bien ejecutada. Repetiría sin dudar (82.0).,"Adventure, Comedy, Fantasy",1.0,"Tomohisa Harada, Mugiyama Sayoki, Manon Asakura, Kenichi Kurokawa, Sakura Sakurada, Mikura Suzuki, Asami Igarashi, Kazuto, Aya, Tanishi, Mao, Baba, Akudou, Aiko Hasegawa, Hosokawa, Kira, Leon, Hiroshi Otokawa, Misaki"
Final Approach,65,Excelente experiencia; animación y banda sonora destacadas (65.0).,"Action, Adventure, Fantasy, Supernatural",23.76,"Kazuma, Straight Cougar, Kanami Yuta, Ayase Terada, Hou Ryuu, George Tatsunami, Kunihiko Kimishima, Kyoji Mujo, Urizane, Unkei, Emergy Maxfell, Akira Terada, Sou Kigetsuki, Asuka Tachibana, Martin Zigmar, Mimori Kiryu, Scheris Adjani, Biff, Elian Zigmar, Narrator"
Kidou Senkan Nadesico,67,Gran equilibrio entre acción y desarrollo de personajes (67.0).,"Action, Adventure, Comedy, Drama, Fantasy, Mahou Shoujo, Mystery, Romance, Supernatural",13.71,"Kouta Otoyama, Shima Katase, Akira Kayama, Jinrai Shirogane, Ayaka Machida, Arisa Glennorth, Yayoi Fujisawa, Rinna Kazamatsuri, Masaru Odawara, Leila Barthes, Richard James, Joey Jones, Chiaki Katase"
Kidou Senshi Victory Gundam,55,Gran equilibrio entre acción y desarrollo de personajes (55.0).,"Adventure, Comedy",26.35,"Masamichi Fujisawa, Ifurita, Katsuhiko Jinnai, Rune Venus, Diva, Alielle Relrye, Miz Mishtal, Makoto Mizuhara, Nanami Jinnai, Shayla Shayla, Afura Mann, Uura"
Full Metal Panic? Fumoffu,71,Historia atrapante y bien ejecutada. Repetiría sin dudar (71.0).,"Action, Adventure, Horror, Psychological, Sci-Fi, Supernatural",24.01,"Tina Foster, Aoi Sakuraba, Kaoru Hanabishi, Miyabi Kagurazaki, Suzuki, Taeko Minazuki, Chika Minazuki, Mayu Miyuki, Tanaka"
Shin Shirayuki-hime Densetsu Pretear,61,Muy recomendado: ritmo sólido y personajes entrañables (61.0).,"Action, Adventure, Drama",5.75,"Sayaka Takai, Azusa Hinomori, Tomomi Aizawa, Kouji Maeda, Akemi Hasegawa"
Green Green,75,Historia atrapante y bien ejecutada. Repetiría sin dudar (75.0).,"Action, Drama, Mystery, Sci-Fi",1.77,"Shigure Takimi, Sanosuke Sagara, Kenshin Himura, Gentatsu Takatsuki, Toki Takatsuki, Hajime Saitou, Yahiko Myojin, Kaoru Kamiya, Suzume Gensai, Aritomo Yamagata, Toshiyoshi Kawaji, Ayame Gensai, Sadashirou Kajiki"
Love Hina Christmas Special: Silent Eve,83,Gran equilibrio entre acción y desarrollo de personajes (83.0).,"Adventure, Fantasy, Romance",1.18,"Shinsuke, Nagamitsu Sakonshougen, Mugen, Fuu Kasumi, Heitarou Kawara, Moronobu Hishikawa, Hotaru, Kagetoki Kariya, Shino, Bundai, Yatsuha Imano, Ginsa Momochi, Shiren, Yamane, Shoryuu, Yuri, Okuru, Umanosuke, Otawa Hankichi, Xavier III, Jin, Rikiei Nagatomi, Yukimaru, Sousuke Kawara, Isaac Kitching"
X,68,Sorprendente de principio a fin; superó mis expectativas (68.0).,"Action, Drama, Fantasy, Romance",12.31,"Soprano, Choutarou, Nezumi Kid, Clyde, Shiine, Muura Maasa, Chacha, Piisuke, Urara, Mosuke, Elizabeth, Dorothy, Oyuki, Mary, Ka Zandan, Pikapon, Mayachon, Rascal, Sorges, Yordas, Haideyansu, Genius, Marine, Barabaraman, GauGau"
Futakoi,78,Historia atrapante y bien ejecutada. Repetiría sin dudar (78.0).,"Action, Comedy, Mecha, Romance, Sci-Fi",23.52,"Alphonse Elric, Kathleen Elle Armstrong, Gracia Hughes, Lujon, King Bradley, Roy Mustang, Edward Elric, Bard, Rosé Tomas, Roa, Solf J. Kimblee, Maes Hughes, Wrath, Greed, Yoki, Frank Archer, Philip Gargantos Armstrong, Alex Louis Armstrong, Winry Rockbell, Martel, Clause, Lyra, Riza Hawkeye, Scar, Van Hohenheim"
NARUTO,73,Excelente experiencia; animación y banda sonora destacadas (73.0).,"Action, Adventure, Sci-Fi",1.02,"Rin Tsuchimi, Forbesii, Eustoma, Kaede Fuyou, Lisianthus Eustoma, Asa Shigure, Nadeshiko Benibara, Nerine, Lycoris Forbesii, Kareha, Tsubomi, Ama Shigure, Itsuki Midoriba, Primula, Mayumi Thyme"
"Shin Seiki Evangelion Movie: Air / Magokoro wo, Kimi ni",63,Historia atrapante y bien ejecutada. Repetiría sin dudar (63.0).,"Drama, Romance, Slice of Life, Supernatural",50.91,"Makoto Shishio, Touma Sakaki, Kamatari Honjou, Shougo Amakusa, Yumi Komagata, Yahiko Myojin, Sanosuke Sagara, Tsubaki, Yutarou Tsukayama, Tae Sekihara, Tsubame Sanjou, Kenshin Himura, Arundo Akamatsu, Jinei Udoh, Megumi Takani, Gasuke, Kanryuu Takeda, Jinpuu, Shirojou, Iwanbou, Soujirou Seta, Hajime Saitou, Daigoro Okuma, Shura, Souzou Sagara"
Kidou Senshi Gundam F91,71,Muy recomendado: ritmo sólido y personajes entrañables (71.0).,"Action, Drama, Mecha, Sci-Fi",23.11,"Kogoro Katsura, Kenshin Himura, Toshizo Hijikata, Shinsaku Takasugi, Enishi Yukishiro, Tomoe Yukishiro, Hajime Saitou, Seijuurou Hiko, Souji Okita, Isami Kondo, Tatsumi, Iizuka"
Pia Carrot e Youkoso!!,65,Muy recomendado: ritmo sólido y personajes entrañables (65.0).,"Action, Comedy, Hentai, Sci-Fi",43.41,"Taiko Koizumi, Amagumo, Makoto Kawazu, Tamehiko Kawano, Kanta Mizuno, Natsuko Kawaguchi, Mariko, Mitsuru Koidemizu, Haruo Kawaguchi, Akio Kawaguchi, Mugenya, Junko Asagiri, Stryker, Kaoru Kaizuka, Fuyuo Kawaguchi, Narrator"
Tenshi na Konamaiki,67,Gran equilibrio entre acción y desarrollo de personajes (67.0).,"Action, Adventure, Drama",23.85,"Kyou Souma, Kagura Souma, Hatori Souma, Tooru Honda, Mitsuru, Kisa Souma, Yuki Souma, Motoko Minagawa, Shigure Souma, Ritsu Souma, Hatsuharu Souma, Momiji Souma, Ayame Souma, Akito Souma, Hiro Souma, Megumi Hanajima, Kazuma Souma, Saki Hanajima, Kyouko Honda, Arisa Uotani, Mine Kuramae, Kana Souma, Momo Souma, Minami Kinoshita, Rika Aida"
Love Hina Christmas Special: Silent Eve,75,Sorprendente de principio a fin; superó mis expectativas (75.0).,"Action, Adventure, Fantasy",2.97,"Reo Mouri, Hotaru Imai, Narumi Anjo, Persona, Nonoko Ogasawara, Youichi Hijiri, Sumire Shouda, Noda, Misaki, Natsume Hyuuga, Mikan Sakura, Kaname Sonou, Misaki Harada, Mr. Bear, Shuuichi Sakurano, Kokoro Yome, Jinno, Subaru Imai, Yuu Tobita, Anna Umenomiya, Wakako Usami, Ruka Nogi, Tsubasa Andou, Kitsuneme, Yura Otonashi"
GetBackers: Dakkanya,76,Sorprendente de principio a fin; superó mis expectativas (76.0).,"Adventure, Comedy, Drama, Supernatural",23.53,"Hakkai Cho, Goku Son, Gyokumen Koushou, Lirin, Sanzo Koumyou, Gaty Nene Hawk, Gojou Sha, Sanzou Genjou, Kougaiji, Yaone, Ni Jianyi, Dokugakuji, Zakuro, Hazel Grosse, Jeep, Kanzeon Bosatsu"
Kimi ga Nozomu Eien,66,Historia atrapante y bien ejecutada. Repetiría sin dudar (66.0).,"Action, Adventure, Drama, Fantasy, Horror, Supernatural",3.12,"Cecily Fairchild, Seabook Arno, Carozzo Ronah, Annemarie Bourget, Bardo Chuui, Zabine Chareux, Meitzer Ronah, Reese Arno, Monica Arno, Dorel Ronah, Leslie Arno, Dwight Camry, Drosie Mua, Gillet Krueger, Berghito Pirieau, Georgi Azuma, Migen Maujin, Arthur Jung, Cosmo Eigesse, Nadia Ronah, Theo Fairchild, Leahlee Edaberry, Sam Ehrug, Bertuo Rodriguez, Minmi Editoh"
Maburaho,66,Muy recomendado: ritmo sólido y personajes entrañables (66.0).,"Action, Drama, Romance, Supernatural",2.98,"Kyoichi Kanzaki, Tsuyoshi Ueno, Chiharu Reicha, Makoto Kurumizawa, Yuki Okazaki, Jyunna Morio, Aki Mizutani, Sayaka Kanzaki, Takuya Yokota, Erika Kawai, Aya Kurihara, Yumi Kazama, Mizuki Takano, Nao Nitta, Yoshihiko Kenjo, Shouko Sayama, Chiharu Nitta, Natsue Horikawa"
Jinki:Extend,59,Sorprendente de principio a fin; superó mis expectativas (59.0).,"Action, Sports",23.95,"Masamichi Fujisawa, Qawoor Towles, Katsuhiko Jinnai, Rune Venus, Diva, Alielle Relrye, Fatora Venus, Miz Mishtal, Makoto Mizuhara, Nanami Jinnai, Shayla Shayla, Afura Mann, Dall Narciss III, Arjah, Parnasse Ralielle, Gilda, Ifurita, Uura"
Hungry Heart: Wild Striker,66,Historia atrapante y bien ejecutada. Repetiría sin dudar (66.0).,"Action, Comedy, Sports",2.94,"Chihaya Yamase, Haruaki Akai, Kuriko Kazetsubaki, Kazumi Matsuda, Sayumi Morisaki, Raika Naruo, Shino Akai, Elizabeth, Yuna Miyama, Rin Kamishiro, Kaori Iba, Kazuki Shikimori, Yukihiko Nakamaru, Mitsuhiro Uki, Karei Hirosaki, Takashi Yamaguchi"
Initial D,55,Excelente experiencia; animación y banda sonora destacadas (55.0).,"Action, Adventure, Comedy, Drama, Fantasy, Supernatural",24.06,"Meili Zhou, Maoxing Liu, Leien, Feihong Lan, Silang, Xielu"
Corrector Yui,63,Sorprendente de principio a fin; superó mis expectativas (63.0).,"Adventure, Drama, Mecha, Sci-Fi",50.45,"Jean Fabre, Joseph Carpenter, Genjo Sanzo, Nancy Makuhari, Drake Anderson, Wendy Earhart, Yomiko Readman, Otto Lilienthal, Ikkyu Soujun, Gennai Hiraga, Stephen Wilcox, Ludwig van Beethoven"
School Rumble,73,Gran equilibrio entre acción y desarrollo de personajes (73.0).,"Adventure, Fantasy, Romance",25.74,"Beryl Jasper, Rhodo Chrosite, Hematite Ramsbeckite, Vesuvia Valentino, Chrome, Agate Fluorite, Fon Aina Sulfur, Chalcedony Renierite, No. 1 (Chrome Team), No. 2 (Chrome Team), No. 3 (Chrome Team), Ludwigite, Beryl no Haha, Huegel, Sepia (Chrome Team), Embassador, Boy-chou, Bellboy, Noblewoman, Noblewoman, Noblewoman, Noblewoman, Apprentice Conductor, Soldier, Soldier"
Ranma 1/2,67,Gran equilibrio entre acción y desarrollo de personajes (67.0).,"Action, Drama, Mystery, Sci-Fi",50.0,"Taiki, Aoi Koga, Mitsuki Kouyama, Izumi Rio, Madoka Wakamatsu, Takuto Kira, Meroko Yui, Fuzuki Koyama, Kumi, Keiichi Wakaouji, Masami Ooshige, Jonathan, Eichi Sakurai"
Corrector Yui,69,Excelente experiencia; animación y banda sonora destacadas (69.0).,"Action, Drama, Sci-Fi",45.44,"Jean Fabre, Joseph Carpenter, Genjo Sanzo, Nancy Makuhari, Drake Anderson, Wendy Earhart, Yomiko Readman, Otto Lilienthal, Ikkyu Soujun, Gennai Hiraga, Stephen Wilcox, Ludwig van Beethoven"
BOYS BE ...,55,Sorprendente de principio a fin; superó mis expectativas (55.0).,"Action, Sci-Fi",23.63,"Keisuke Takahashi, Papa, Natsuki Mogi, Kouichirou Iketani, Takumi Fujiwara, Shingo Shouji, Kenji, Sayuki, Ryousuke Takahashi, Mako Satou, Kenta Nakamura, Yuuichi Tachibana, Takeshi Nakazato, Saori, Bunta Fujiwara, Itsuki Takeuchi, Hiroshi Fumihiro, Hiromichi, Miki, Shouichi, Narrator, Akio, Keiichi Tsuchiya, Masahiko, Jouhou-buchou"
Rizelmine,69,Historia atrapante y bien ejecutada. Repetiría sin dudar (69.0).,"Adventure, Drama, Mecha, Sci-Fi",26.41,Kei Ogata
Samurai Champloo,83,Historia atrapante y bien ejecutada. Repetiría sin dudar (83.0).,"Comedy, Drama, Romance, Supernatural",1.0,"Kousei Shimazaki, Maiku Kamishiro, Koishi Herikawa, Ichigo Morino, Kei Kusanagi, Miina Miyafuji, Karen Onodera, Kaede Misumi, Yuuka Yashiro, Tsubaki Oribe, Mizuho Kazami, Marie, Haruko Shidou, Matagu Shidou"
NARUTO,72,Gran equilibrio entre acción y desarrollo de personajes (72.0).,"Drama, Romance, Slice of Life, Supernatural",50.58,"Elixir, Izarra Tumbler, Postino, Rose, Mirabelle, Drambuie, Jing, Cidre, Kir, Stir, Angostura, Vodka, Fino Quart, Countess Dubonnet, Cidre's Mother"
Kareshi Kanojo no Jijou,66,Gran equilibrio entre acción y desarrollo de personajes (66.0).,"Action, Adventure, Sci-Fi",4.18,"Spike Spiegel, Ein, Faye Valentine, Lee Samson, Judy, Jet Black, Vincent Volaju, Edward Wong Hau Pepelu Tivrusky IV, Captain, Bull, Electra Ovilo, Punch, Bob, Rasheed, Renji, Harris, Lylie Kisha, Old Lady, Steve, Cashier, Kottouhinya Tenshu, Colonel, Jobim, Antonio, Carlos"
GUNSLINGER GIRL,67,Muy recomendado: ritmo sólido y personajes entrañables (67.0).,"Action, Drama, Mecha, Sci-Fi",68.93,"Misato Katsuragi, Ryouji Kaji, Yui Ikari, Rei Ayanami, Kaworu Nagisa, Ritsuko Akagi, Asuka Langley Souryuu, Shinji Ikari, Shigeru Aoba, Maya Ibuki, Gendou Ikari, Makoto Hyuuga, Kohzou Fuyutsuki, Kyouko Zeppelin Souryuu, Keel Lorentz, Pen Pen"
Boukyaku no Senritsu,77,Excelente experiencia; animación y banda sonora destacadas (77.0).,"Action, Adventure, Comedy, Drama, Fantasy",62.83,"Tabool, Hamdo, Shuuzou Matsutani, Lala-Ru, Soon, Nabuca, Abelia, Sis, Sara Ringwalt, Boo, Elamba, Kazam, Oda, Isha"
Aishiteruze Baby★★,63,Excelente experiencia; animación y banda sonora destacadas (63.0).,"Comedy, Romance",51.71,"Sousuke Sagara, Kaname Chidori, Kurz Weber, Shinji Kazama, Nora Lemming, Teletha Testarossa, Andrei Kalinin, Kugayama Takuma, Richard Mardukas, AL, Kyouko Tokiwa, Zaied, Melissa Mao, Seina, Eri Kagurazaka, Marcy Takenaka, Mizuki Inaba, Gauron, Lian Shaopin, Jackson, Grace Wiseman, Mira Kudan, Gail McAllen, Killy B. Sailor, Edward Sachs"
Hachimitsu to Clover,76,Sorprendente de principio a fin; superó mis expectativas (76.0).,"Comedy, Drama, Romance, Sci-Fi",12.66,"Michiru, Sora, Yukito Kunisaki, Potato, Ryuuya, Misuzu Kamio, Haruko Kamio, Minagi Tohno, Yukito no Haha, Uraha, Saika Shino, Maika Shino, Hijiri Kirishima, Keisuke Tachibana, Kanna, Kano Kirishima, Minagi no Haha, Yaobikuni, Minagi no Chichi, Kano no Haha"
Sunabouzu,60,Gran equilibrio entre acción y desarrollo de personajes (60.0).,"Adventure, Drama, Mecha, Sci-Fi",26.3,"Griff, Kyouya Takamachi, Misato Mikami, Shinobu Tsukimura, Irene Noa, Nanoha Takamachi, Noel K. Ehrlichkeit, Shirou Takamachi, Ellis McGaren, Miyuki Takamachi, Fiasse Crystela, Momoko Takamachi"
AIR,80,Excelente experiencia; animación y banda sonora destacadas (80.0).,"Action, Adventure, Horror, Psychological, Sci-Fi, Supernatural",24.13,"Pierrot Bolneze, Monica Adenauer, Megumi Kimura, Takumi Tsubozuka, Katsuo Umino, Yuuko Motohashi, Sophie Balzac Kirisaki, Go Chimatsuri, Narumi Shizuto, Sylvan Kirisaki, Miki Norihei, Shigeru Kanmuri, Ryou Kuroyanagi, Inaho Azuma, Ken Matsushiro, Leonhart XIV, Haijima, Masanobu Tsutsumi, Brad Kidd, Yuuichi Kirisaki, Spencer Henry, Kyousuke Kawachi, Kazuma Azuma, Kaede Matsushiro, Tsukino Azusagawa"
Love Hina,70,Gran equilibrio entre acción y desarrollo de personajes (70.0).,"Comedy, Drama, Fantasy",26.54,"Alisa Bannings, Nanoha Takamachi, Suzuka Tsukimura, Amy Limietta, Lindy Harlaown, Alicia Testarossa, Fate Testarossa, Kyouya Takamachi, Chrono Harlaown, Arf, Yuuno Scrya, Miyuki Takamachi, Shinobu Tsukimura, Noel K. Ehrlichkeit, Farin K. Ehrlichkeit, Shirou Takamachi, Precia Testarossa, Momoko Takamachi, Bardiche, Raising Heart"
Avenger,77,Gran equilibrio entre acción y desarrollo de personajes (77.0).,"Action, Drama, Fantasy, Horror, Sci-Fi, Supernatural",13.26,"Soprano, Choutarou, Nezumi Kid, Clyde, Shiine, Muura Maasa, Chacha, Piisuke, Urara, Mosuke, Elizabeth, Dorothy, Oyuki, Mary, Ka Zandan, Pikapon, Mayachon, Rascal, Sorges, Yordas, Haideyansu, Genius, Marine, Barabaraman, GauGau"
Kareshi Kanojo no Jijou,71,Excelente experiencia; animación y banda sonora destacadas (71.0).,"Action, Drama, Romance, Sports",24.65,"Masataka Takayanagi, Mitsuomi Takayanagi, Masahiro Sanada, Bob Makihara, Souichirou Nagi, Maya Natsume, Aya Natsume, Chiaki Kounoike, Dan Inosato, Bunshichi Tawara, Ishimatsu, Kagesada Sugano, Makiko Nagi, Shin Natsume, Emi Isuzu, Tsutomu Ryuuzaki, Shinobu Kagurazaka, Mana Kuzunoha, Dougen Takayanagi, Wu-Tan, Shiro Tagami, Kaima Natsume, Chiein Fuu, Yoshiki Satou, Furio Suko"
Shingetsutan Tsukihime,65,Historia atrapante y bien ejecutada. Repetiría sin dudar (65.0).,"Drama, Romance",13.49,"Chihaya Yamase, Haruaki Akai, Kuriko Kazetsubaki, Kazumi Matsuda, Sayumi Morisaki, Raika Naruo, Shino Akai, Elizabeth, Yuna Miyama, Rin Kamishiro, Kaori Iba, Kazuki Shikimori, Yukihiko Nakamaru, Mitsuhiro Uki, Karei Hirosaki, Takashi Yamaguchi"
Hungry Heart: Wild Striker,38,Sorprendente de principio a fin; superó mis expectativas (38.0).,"Action, Adventure, Comedy, Mystery, Sci-Fi",26.81,"Nagi Daí Artai, Sergay Wáng, Midori, Mai Tokiha, Yukino Chrysant, Tomoe Marguerite, Fia Gross, Nina Wáng, Mimi, Mikoto, Sara Gallagher, Rad, Rosalie Claudel, Natsuki Kruger, Mashiro Blan de Windbloom, Haruka Armitage, Yayoi Alter, Yukariko Steinberg, Gal, Laura Bianci, Chie Hallard, Shiho Huit, Shizuru Viola, Akane Soir, Aoi Senoh"
Love Hina: Haru Special - Kimi Sakura Chiru Nakare!!,68,Historia atrapante y bien ejecutada. Repetiría sin dudar (68.0).,"Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi",49.19,"Shinsuke, Nagamitsu Sakonshougen, Mugen, Fuu Kasumi, Heitarou Kawara, Moronobu Hishikawa, Hotaru, Kagetoki Kariya, Shino, Bundai, Yatsuha Imano, Ginsa Momochi, Shiren, Yamane, Shoryuu, Yuri, Okuru, Umanosuke, Otawa Hankichi, Xavier III, Jin, Rikiei Nagatomi, Yukimaru, Sousuke Kawara, Isaac Kitching"
